"p1id","p2id","p1","p2","type"
"7-134","8-268","UA needs to be cautious in trusting the anonymous report.","Anonymous states that SJ is stealing IP and working for Queen Tech.",
"2-1","4-7","Shane Jeffries is suitable to hold a position at UA","made necessary an investigation of this complaint and an assessment of the employee",
"1-227","6-2","it will fail if he leaves beforehand (the launch is in 3 weeks)","it is likely employee Shane Jeffries was involved in corporate espionage",
"6-133","7-35","there could be a significant financial implication for the company","the aggregated probability of Shane committing espionage is 53%",
"5-142","8-104","which makes keeping him onboard much more favourable","Shane and Brian are a domestic couple",
"5-135","6-142","we may consider a lower probability than 45% as the actual probability Jeffries committed theft via these behaviours","the company could lose up to$7 million in earnings.",
"0-1","6-170","the probability that JEFFRIES is undertaking corporate espionage and/or is suitable to continue in his role is too close to 50% to justify an overt investigation.","could probably be related to problems that he is facing with his wife sexually, or they are facing problems in having a child.",
"0-180","4-25","This has implications for UA both reputationally and financially","She trusts him and thus does not observe his work closely.",
"3-38","8-78","It is unlikely that JEFFRIES  is committing corporate espionage based on information presented at hand","Probability that Shane Jeffries, IT scanning and access behaviour in conjunction with his lie detector probability,  is likely to enact espionage = 0.0663/(0.0663+0.0718) **= 48%","s"
"5-46","7-78","Shane was very friendly with her and the rest of the team. ","decreases the risk that Shane will engage in acts detrimental to the company.",
"5-46","7-110","Shane was very friendly with her and the rest of the team. ","may be the anonymous reporter.",
"0-9","7-45","While available evidence taken as a whole could indicate that JEFFRIES activities are due to him undertaking corporate espionage, the evidence could equally be related to innocuous activities","we cannot confidently say that Shane has or will perpetrate acts of theft or espionage","S"
"1-2","4-118","The raw probability that  Shane Jeffries is engaged in IP theft is 48%.","UA does not have a predicted loss",
"2-80","5-135","no evidence that Shane is unhappy at work – indeed, he seems to be working on a key project and seems to be liked by his manager and to get along with his peers.","we may consider a lower probability than 45% as the actual probability Jeffries committed theft via these behaviours",
"1-96","8-268","The irregular working hours are a reaction to the interpersonal conflict with co-workers","Anonymous states that SJ is stealing IP and working for Queen Tech.",
"2-61","7-134","“he is very friendly with her and the rest of the team”","UA needs to be cautious in trusting the anonymous report.",
"0-62","6-11","Urgent action should be taken to resolve the HR complaint from JEFFRIES to reduce the level of financial and reputational risk to UA.","This relationship suggests that there could be loyalties or good connections in place from the start.",
"0-127","3-127","it demonstrates the need for further investigation to determine whether these activities are innocuous or malicious","JEFFRIES has demonstrated such behaviour with his employment history.",
"2-1","3-199","Shane Jeffries is suitable to hold a position at UA","These factors may increase the risk of espionage conducted by JEFFRIES","a"
"1-227","7-45","it will fail if he leaves beforehand (the launch is in 3 weeks)","we cannot confidently say that Shane has or will perpetrate acts of theft or espionage",
"0-2","3-80","there is reason to believe that the accusation is false","Personal financial motivation risk factors are present for JEFFRIES.",
"0-180","1-22","This has implications for UA both reputationally and financially","SJ should be offered an opportunity to air his concerns and grievances",
"0-1","5-36","the probability that JEFFRIES is undertaking corporate espionage and/or is suitable to continue in his role is too close to 50% to justify an overt investigation.","Before recognising any indicators of Shane’s possible guilt, it is imperative to appreciate his value as an employee",
"4-28","5-10","In an email, Bourne relayed a conversation that he overheard, which discussed how Jeffries had been working odd hours.","it is in UA's best interests to delay investigate until at least after the release of the MAX10 at the upcoming SOUND FORUM.",
"3-127","5-3","JEFFRIES has demonstrated such behaviour with his employment history.","there is not enough evidence of guilt to investigate Shane",
"2-3","3-127","he is a highly valuable staff member","JEFFRIES has demonstrated such behaviour with his employment history.",
"4-28","5-46","In an email, Bourne relayed a conversation that he overheard, which discussed how Jeffries had been working odd hours.","Shane was very friendly with her and the rest of the team. ",
"1-96","4-51","The irregular working hours are a reaction to the interpersonal conflict with co-workers","Shane Jeffries being the spy","A"
"4-126","5-1","there is no risk of corporate espionage","There is moderate reason for suspecting Shane Jeffries of corporate espionage.","a"
"5-3","8-8","there is not enough evidence of guilt to investigate Shane","personal circumstances may indicate possible vulnerabilities that could be exploited in the future",
"3-80","5-135","Personal financial motivation risk factors are present for JEFFRIES.","we may consider a lower probability than 45% as the actual probability Jeffries committed theft via these behaviours",
"7-78","8-2","decreases the risk that Shane will engage in acts detrimental to the company.","There is no compelling evidence to suggest Shane Jeffries is committing insider theft",
"0-46","4-118","UA should investigate to determine the author of the handwritten note, and RTCG recommends the use of handwriting comparisons during this investigation.","UA does not have a predicted loss",
"3-199","4-106","These factors may increase the risk of espionage conducted by JEFFRIES","UA has a predicted loss of $7 million",
"3-20","4-51","for most of these information sources there are a number of intelligence gaps that reduce the confidence and completeness of any assessment of corporate espionage","Shane Jeffries being the spy",
"1-29","3-1","every effort should be made to address these to preserve UA's reputation as a company that attracts and keeps the most technically talented people, and for the future viability of the company","the employee in question, Shane Jeffries (JEFFRIES), should remain an employee of Ultimate Audio",
"4-51","8-104","Shane Jeffries being the spy","Shane and Brian are a domestic couple",
"1-22","7-140","SJ should be offered an opportunity to air his concerns and grievances","progressively odd working hours over the course of his employment.",
"1-29","6-11","every effort should be made to address these to preserve UA's reputation as a company that attracts and keeps the most technically talented people, and for the future viability of the company","This relationship suggests that there could be loyalties or good connections in place from the start.",
"2-41","3-311","There seems no question Shane possesses highly valued technical skills.","The activities JEFFRIES has undertaken in the past 4 weeks are assessed as being part of the work required in the lead up to the release of a new product – the MAX10 - and are unlikely as evidence of corporate espionage.",
"2-80","5-10","no evidence that Shane is unhappy at work – indeed, he seems to be working on a key project and seems to be liked by his manager and to get along with his peers.","it is in UA's best interests to delay investigate until at least after the release of the MAX10 at the upcoming SOUND FORUM.",
"0-47","2-41","All security procedures and policies should be reviewed to ensure that there is periodic assessment of staff behaviours and a clear plan of action to uncover and investigate anomalies.","There seems no question Shane possesses highly valued technical skills.",
"4-17","6-142","Linda Kim (Jeffries’ Supervisor): Shane Jeffries is a valuable member of her team","the company could lose up to$7 million in earnings.",
"0-2","5-46","there is reason to believe that the accusation is false","Shane was very friendly with her and the rest of the team. ","s"
"1-1","5-36","Shane Jeffries is unlikely to be engaged in IP theft from UA","Before recognising any indicators of Shane’s possible guilt, it is imperative to appreciate his value as an employee",
"1-49","2-152","SJ is engaged in corporate espionage or IP theft","IT audit – showed scanning and access 3-6 weeks ago.","s"
"5-142","6-2","which makes keeping him onboard much more favourable","it is likely employee Shane Jeffries was involved in corporate espionage","a"
"0-62","8-104","Urgent action should be taken to resolve the HR complaint from JEFFRIES to reduce the level of financial and reputational risk to UA.","Shane and Brian are a domestic couple",
"1-2","5-86","The raw probability that  Shane Jeffries is engaged in IP theft is 48%.","turmoil with Shane and co-
workers;",
"5-135","8-78","we may consider a lower probability than 45% as the actual probability Jeffries committed theft via these behaviours","Probability that Shane Jeffries, IT scanning and access behaviour in conjunction with his lie detector probability,  is likely to enact espionage = 0.0663/(0.0663+0.0718) **= 48%",
"6-133","7-78","there could be a significant financial implication for the company","decreases the risk that Shane will engage in acts detrimental to the company.",
"0-62","7-3","Urgent action should be taken to resolve the HR complaint from JEFFRIES to reduce the level of financial and reputational risk to UA.","it seems unlikely that Shane Jeffries is currently or will be involved in corporate espionage at Ultimate Audio (UA).",
"1-198","5-3","SJ is now focused on launching his own company, and, feeling no particular loyalty to UA because he feels mistreated, is actively taking steps to maximize his chance of success by stealing work currently under development, either in the expectation of being able to further develop it himself, or to sell to a 3rd party","there is not enough evidence of guilt to investigate Shane","A"
